person_id,name,character,role
21795,Irene Papas,Maria Pappadimos,ACTOR
29177,Gia Scala,Anna,ACTOR
29178,James Robertson Justice,Commodore Jensen / Prologue Narrator,ACTOR
4431,Richard Harris,Squadron Leader Howard Barnsby RAAF,ACTOR
29179,Bryan Forbes,Cohn,ACTOR
29180,Allan Cuthbertson,Maj. Baker,ACTOR
16493,Michael Trubshawe,Weaver,ACTOR
27914,Percy Herbert,Sgt. Grogan,ACTOR
16882,George Mikell,SS Hauptman Sessler,ACTOR
11738,Walter Gotell,Muesel,ACTOR
13701,Tutte Lemkow,Nicolai,ACTOR
29181,Albert Lieven,Commandant,ACTOR
29182,Norman Wooland,Group Captain,ACTOR
613906,Kleo Skouloudi,Bride,ACTOR
29184,Nicholas Papakonstantinou,Patrol Boat Captain,ACTOR
29185,Christopher Rhodes,German Gunnery Officer,ACTOR
13433,William Hoehne Jr.,German Officer on Navarone,ACTOR
29187,J. Lee Thompson,,DIRECTOR
26187,Burt Lancaster,Dolworth,ACTOR
35196,Lee Marvin,Fardan,ACTOR
24126,Robert Ryan,Ehrengard,ACTOR
36499,Woody Strode,Jake,ACTOR
16444,Jack Palance,Jesus Raza,ACTOR
16488,Claudia Cardinale,Maria,ACTOR
12463,Ralph Bellamy,Grant,ACTOR
62767,Joe De Santis,Ortega,ACTOR
62768,Rafael Bertrand,Fierro,ACTOR
62769,Jorge Martínez de Hoyos,Padilla,ACTOR
62770,Marie Gomez,Chiquita,ACTOR
57746,José Chávez,Revolutionary,ACTOR
127918,Carlos Romero,Revolutionary,ACTOR
23699,Vaughn Taylor,Banker,ACTOR
534965,Elizabeth Campbell,Mexican Girl (uncredited),ACTOR
1461646,Don Carlos,Bandit (uncredited),ACTOR
58919,Leigh Chapman,Lady (uncredited),ACTOR
80218,Roberto Contreras,Bandit (uncredited),ACTOR
2209884,Dirk Evans,Man at Door (uncredited),ACTOR
539684,Darwin Lamb,Hooper (uncredited),ACTOR
227842,Eddie Little Sky,Jake's Prisoner (uncredited),ACTOR
2209736,John Lopez,Mexican Servant (uncredited),ACTOR
101889,John McKee,Sheriff (uncredited),ACTOR
534354,Philip L. Parslow,Deputy Sheriff (uncredited),ACTOR
650832,Ron Veto,Mexican Soldier (uncredited),ACTOR
23705,Richard Brooks,,DIRECTOR
25707,Richard Pryor,Himself,ACTOR
191724,Jennifer Lee Pryor,Herself (uncredited),ACTOR
65063,Jeff Margolis,,DIRECTOR
25056,Bing Crosby,Bob Wallace,ACTOR
60326,Danny Kaye,Phil Davis,ACTOR
74992,Rosemary Clooney,Betty Haynes,ACTOR
74993,Vera-Ellen,Judy Haynes,ACTOR
41874,Dean Jagger,General Waverly,ACTOR
27535,Mary Wickes,Emma Allen,ACTOR
74994,John Brascia,John,ACTOR
74995,Anne Whitfield,Susan Waverly,ACTOR
74996,Bea Allen,Dancer (uncredited),ACTOR
36157,Frank Baker,Anniversary Party Guest (uncredited),ACTOR
74997,Glen Cargyle,Jeep Driver (uncredited),ACTOR
25098,George Chakiris,Dancer (uncredited),ACTOR
100934,Barrie Chase,Doris Lenz (uncredited),ACTOR
1023889,Lorinne Crawford,Rita (uncredited),ACTOR
22477,Franklyn Farnum,Club Patron (uncredited),ACTOR
14166,Bess Flowers,Club Patron (uncredited),ACTOR
36504,Gavin Gordon,General Carlton (uncredited),ACTOR
422099,Johnny Grant,Ed Harrison (uncredited),ACTOR
57838,Percy Helton,Train Conductor (uncredited),ACTOR
88997,I. Stanford Jolley,Station Master (uncredited),ACTOR
45687,Sig Ruman,Landlord (uncredited),ACTOR
132394,Grady Sutton,Mr. Herring (uncredited),ACTOR
71905,Herb Vigran,Novello (uncredited),ACTOR
498631,Robert Crosson,Albert (uncredited),ACTOR
14797,Michael Curtiz,,DIRECTOR
173189,Farid Shawqi,Abu Siri,ACTOR
530033,Hind Rostom,Hanuma,ACTOR
173191,Youssef Chahine,Qinawi,ACTOR
1321002,Hassan el Baroudi,Madbouli,ACTOR
557165,Abdel Aziz Khalil,Abu Gaber,ACTOR
557166,Said Khalil,Jadallah,ACTOR
557167,Abdel Ghani Nagdi,Sa'idi traveller,ACTOR
557168,Loutfi El Hakim,,ACTOR
557169,Abdel Hamid Bodaoha,Shawish Hassanein,ACTOR
557170,F. El Demerdache,,ACTOR
557171,Said El Araby,,ACTOR
538017,Ahmed Abaza,Mansour,ACTOR
557172,Hana Abdel Fattah,,ACTOR
557173,Safia Sarwat,,ACTOR
557178,Asaad Kellada,(as Assaad Kellada),ACTOR
555008,Naima Wasfy,Hallawatim,ACTOR
1521416,Sherine,,ACTOR
1521414,Soheir,,ACTOR
1321149,Esmat Mahmoud,,ACTOR
1521441,Nawal Morsi,,ACTOR
1521413,Gharib Moawad,,ACTOR
1521412,Mohamed Mazhar,,ACTOR
1521534,Galal Issa,,ACTOR
1521409,Mahrous El Garhi,,ACTOR
1521506,Ahmed El Tantawi,,ACTOR
1521407,S. Abdel Aziz,,ACTOR
225932,Nadia Lotfi,,ACTOR
2342528,Safia Tharwat,Halawethom,ACTOR
173191,Youssef Chahine,,DIRECTOR
218173,Gert Westphal,Narrator (voice),ACTOR
41187,Joachim Fest,,DIRECTOR
15595,Jane Fonda,Herself,ACTOR
1765,Donald Sutherland,Himself,ACTOR
